time,.layout.dim,.layout.data_offset,.data
2022/07/07/23:33:56.953676,[],0,"(-0.15858977450042405, -0.8832229577416472, 0.2)"
2022/07/07/23:33:57.053675,[],0,"(0.113112893497917, -0.86089095140046, 0.2)"
2022/07/07/23:33:57.153690,[],0,"(0.4506348486012419, -0.8217764744484372, 0.2)"
2022/07/07/23:33:57.253509,[],0,"(0.736672499157251, -0.752739241871495, 0.2)"
2022/07/07/23:33:57.353657,[],0,"(0.8661314932269963, -0.6491911591209935, 0.2)"
2022/07/07/23:33:57.453429,[],0,"(0.8975120337565993, -0.5224747259750591, 0.2)"
2022/07/07/23:33:57.553330,[],0,"(0.8966883464354101, -0.3717136691184851, 0.2)"
2022/07/07/23:33:57.553352,[],0,"(0.8966883464354101, -0.3717136691184851, 0.2)"
2022/07/07/23:33:57.653787,[],0,"(0.8966883464354101, -0.3717136691184851, 0.2)"
2022/07/07/23:33:57.753873,[],0,"(0.8966883464354101, -0.3717136691184851, 0.2)"
2022/07/07/23:33:57.853699,[],0,"(0.8966883464354101, -0.3717136691184851, 0.2)"
2022/07/07/23:33:57.953690,[],0,"(0.8966883464354101, -0.3717136691184851, 0.2)"
2022/07/07/23:33:58.053634,[],0,"(0.8966883464354101, -0.3717136691184851, 0.2)"
2022/07/07/23:33:58.253775,[],0,"(0.8846177493253894, -0.17774927259699355, 0.2)"
2022/07/07/23:33:58.353852,[],0,"(0.8632622340477948, 0.08708461388513421, 0.2)"
2022/07/07/23:33:58.453723,[],0,"(0.8260194098663859, 0.421864569676094, 0.2)"
2022/07/07/23:33:58.553679,[],0,"(0.759959258642023, 0.7184808663248163, 0.2)"
2022/07/07/23:33:58.653661,[],0,"(0.6589300298161324, 0.8603415347191556, 0.2)"
2022/07/07/23:33:58.753648,[],0,"(0.5338913954130201, 0.8966519557534103, 0.2)"
2022/07/07/23:33:58.853652,[],0,"(0.3856843043181911, 0.8973007747012014, 0.2)"
2022/07/07/23:33:58.953651,[],0,"(0.19639844705592716, 0.8859513160872858, 0.2)"
2022/07/07/23:33:59.053766,[],0,"(-0.06162548428520047, 0.8655258804335226, 0.2)"
2022/07/07/23:33:59.154184,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.154244,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.253544,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.353584,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.453632,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.553667,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.653353,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.753509,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.853598,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:33:59.953189,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.053283,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.153504,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.253271,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.353247,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.453826,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.553693,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.653699,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.753571,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.853764,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:00.953621,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:01.053670,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:01.153683,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:01.253660,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:01.353665,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
2022/07/07/23:34:01.453791,[],0,"(-0.3928582942501528, 0.8300566564903137, 0.2)"
